"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GF1","KA1","EQD"
"04065099999","1916-01-01T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","110,1,N,0093,1","99999,9,9,N","999999,9,N,9","+0039,1","+9999,9","09749,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,+0028,1",
"04065099999","1916-01-01T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","110,1,N,0067,1","99999,9,9,N","999999,9,N,9","+0039,1","+9999,9","09750,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-01T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","110,1,N,0154,1","99999,9,9,N","999999,9,N,9","+0028,1","+9999,9","09770,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0050,1",
"04065099999","1916-01-02T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","110,1,N,0190,1","99999,9,9,N","999999,9,N,9","+0011,1","+9999,9","09818,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,+0000,1",
"04065099999","1916-01-02T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","110,1,N,0154,1","99999,9,9,N","999999,9,N,9","+0039,1","+9999,9","09842,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-02T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","110,1,N,0123,1","99999,9,9,N","999999,9,N,9","+0011,1","+9999,9","09867,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0039,1",
"04065099999","1916-01-03T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","110,1,N,0093,1","99999,9,9,N","999999,9,N,9","+0011,1","+9999,9","09898,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0022,1",
"04065099999","1916-01-03T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","110,1,N,0123,1","99999,9,9,N","999999,9,N,9","+0011,1","+9999,9","09937,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-03T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","160,1,N,0123,1","99999,9,9,N","999999,9,N,9","+0000,1","+9999,9","09946,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0022,1",
"04065099999","1916-01-04T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","160,1,N,0093,1","99999,9,9,N","999999,9,N,9","+0011,1","+9999,9","09894,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0022,1",
"04065099999","1916-01-04T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","160,1,N,0093,1","99999,9,9,N","999999,9,N,9","+0022,1","+9999,9","09891,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-04T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","160,1,N,0093,1","99999,9,9,N","999999,9,N,9","+0011,1","+9999,9","09911,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0028,1",
"04065099999","1916-01-05T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","090,1,N,0093,1","99999,9,9,N","999999,9,N,9","+0011,1","+9999,9","10008,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0022,1",
"04065099999","1916-01-05T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","090,1,N,0093,1","99999,9,9,N","999999,9,N,9","+0022,1","+9999,9","10040,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-05T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","090,1,N,0123,1","99999,9,9,N","999999,9,N,9","+0011,1","+9999,9","10007,1","07,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0022,1",
